"region","townsize","gender","agecat","birthmonth","edcat","jobcat","union","empcat","retire","inccat","debtinc","creddebt","othdebt","default","jobsat","marital","spousedcat","reside","pets","pets_cats","pets_dogs","pets_birds","pets_reptiles","pets_small","pets_saltfish","pets_freshfish","homeown","hometype","addresscat","cars","carown","cartype","carcatvalue","carbought","carbuy","commute","commutecat","commutetime","reason","polview","polparty","polcontrib","vote","card","cardtype","cardbenefit","cardfee","cardtenurecat","card2","card2type","card2benefit","card2fee","card2tenurecat","carditems","card2items","active","bfast","tenure","churn","longmon","longten","tollfree","tollmon","tollten","equip","equipmon","equipten","callcard","cardmon","cardten","wireless","wiremon","wireten","multline","voice","pager","internet","callid","callwait","forward","confer","ebill","owntv","hourstv","ownvcr","owndvd","owncd","ownpda","ownpc","ownipod","owngame","ownfax","news","response_01","response_02","response_03","total.card.spend"
"Zone 4","< 2,500","Male","35-49","August","Post-undergraduate degree","Precision Production, Craft, Repair","No","More than 15","No","$25 - $49",14.5,1.09,2.83,"Yes","Somewhat satisfied","Married","College degree",2,5,0,0,0,0,0,0,5,"Rent","Mobile Home","8 to 15",1,"Own","Domestic","Economy","Yes","No","Bicycle","Non-motorized",24,"Missing","Moderate","No","No","Yes","Discover","None","Airline miles","No","More than 15","American Express","Other","None","No","More than 15",12,5,"Yes","Oatmeal",52,"Yes",17.5,895.6,"No",0,0,"Yes",42.65,2177.35,"Yes",23.25,1145,"Yes",38.75,2044.1,"Yes","Yes","Yes","Other","No","No","No","No","Yes","Yes",14,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No",479.28
"Zone 2","2,500-9,999","Female","18-24","April","High school degree","Sales and Office","No","Less than 2","No","Under $25",16.3,1.02,1.59,"Yes","Highly dissatisfied","Unmarried","Not married",2,4,0,0,0,0,0,0,4,"Rent","Multiple-Family","Less than 3",1,"Own","Domestic","Economy","Yes","No","Train/Subway","Public transportation",34,"Missing","Moderate","No","Yes","No","Mastercard","Platinum","Airline miles","Yes","2 to 5","Discover","Other","None","No","2 to 5",6,5,"Yes","Energy bar",22,"Yes",9.25,191.3,"No",0,0,"No",0,0,"No",0,0,"No",0,0,"No","No","No","Cable modem","No","No","No","No","Yes","Yes",19,"No","Yes","Yes","No","Yes","No","Yes","No","No","No","No","No",216.19
"Zone 1","50,000-249,999","Female","50-64","April","College degree","Precision Production, Craft, Repair","No","11 to 15","Yes","Under $25",10.6,0.8,1.11,"No","Neutral","Unmarried","Not married",1,10,0,0,0,0,0,0,10,"Rent","Multiple-Family","More than 25",1,"Own","Import","Economy","No","Yes","Train/Subway","Public transportation",28,"Missing","Slightly conservative","No","No","No","Visa","Platinum","Other","No","More than 15","American Express","Gold","None","No","More than 15",13,9,"No","Cereal",68,"No",20.75,1462,"No",0,0,"No",0,0,"Yes",22.5,1540,"No",0,0,"Yes","No","No","None","No","Yes","No","No","No","Yes",29,"Yes","Yes","Yes","No","No","Yes","No","No","Yes","No","Yes","No",700.66
"Zone 5","2,500-9,999","Male","18-24","November","Some college","Service","No","Less than 2","No","Under $25",4.9,0.77,0.4,"No","Somewhat satisfied","Unmarried","Not married",1,1,0,1,0,0,0,0,0,"Own","Single-family","4 to 7",2,"Own","Import","Economy","No","No","Bus","Public transportation",21,"Convenience","Moderate","No","No","No","Other","Other","Other","No","2 to 5","Mastercard","Gold","None","No","2 to 5",10,7,"No","Cereal",8,"Yes",4.7,31.5,"Yes",19,149.8,"Yes",34.5,258.45,"Yes",14.75,95,"No",0,0,"No","Yes","No","Dial-up","Yes","Yes","Yes","Yes","No","Yes",15,"Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","No",687.41
"Zone 5","50,000-249,999","Male","25-34","September","College degree","Managerial and Professional","No","2 to 5","No","$50 - $74",9.9,3.53,3.1,"Yes","Somewhat dissatisfied","Unmarried","Not married",1,2,0,2,0,0,0,0,0,"Rent","Single-family","Less than 3",3,"Own","Import","Standard","No","Yes","Car","Single occupancy",22,"Missing","Moderate","Yes","Yes","No","American Express","Platinum","None","No","2 to 5","Mastercard","Platinum","Other","No","2 to 5",10,2,"No","Cereal",6,"No",3.3,15.8,"No",0,0,"Yes",23.95,113.25,"No",0,0,"No",0,0,"No","No","No","None","No","No","No","No","Yes","Yes",18,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No",1346.06
"Zone 1","> 250,000","Female","18-24","February","Some college","Sales and Office","No","Less than 2","No","$25 - $49",2.7,0.38,0.62,"No","Somewhat dissatisfied","Unmarried","Not married",1,8,2,0,0,0,0,0,6,"Rent","Mobile Home","Less than 3",3,"Own","Import","Standard","No","No","Car","Single occupancy",15,"Missing","Moderate","No","No","Yes","Discover","None","Other","No","2 to 5","Mastercard","Gold","Airline miles","No","2 to 5",8,1,"Yes","Energy bar",10,"No",3.9,29.7,"Yes",10.5,101.4,"No",0,0,"Yes",20.25,165,"No",0,0,"No","No","No","None","Yes","Yes","Yes","No","No","Yes",15,"Yes","Yes","Yes","No","No","No","No","No","No","No","No","No",169.09
"Zone 4","2,500-9,999","Male","18-24","July","High school degree","Precision Production, Craft, Repair","No","Less than 2","No","Under $25",7.2,0.18,0.83,"Yes","Somewhat dissatisfied","Unmarried","Not married",1,8,2,0,0,0,0,0,6,"Own","Single-family","Less than 3",2,"Lease","Domestic","Economy","No","No","Car","Single occupancy",28,"Missing","Moderate","No","No","Yes","American Express","None","None","No","Less than 2","Discover","Platinum","Cash back","Yes","Less than 2",11,9,"Yes","Cereal",3,"Yes",3.75,6,"No",0,0,"No",0,0,"Yes",13.75,20,"No",0,0,"No","No","No","DSL","No","Yes","No","No","Yes","Yes",23,"No","No","Yes","No","Yes","No","No","No","No","No","No","No",435.74
"Zone 1","> 250,000","Male","50-64","July","College degree","Managerial and Professional","No","11 to 15","No","$25 - $49",2.3,0.28,0.64,"No","Neutral","Married","Some college",2,0,0,0,0,0,0,0,0,"Own","Single-family","8 to 15",2,"Own","Import","Economy","No","Yes","Car","Single occupancy",23,"Missing","Moderate","No","No","No","Visa","None","None","No","More than 15","Discover","Platinum","Other","No","More than 15",11,5,"No","Oatmeal",57,"No",18.45,1104.5,"No",0,0,"No",0,0,"No",0,0,"Yes",39.35,2279.8,"Yes","Yes","Yes","Dial-up","Yes","Yes","Yes","Yes","No","Yes",21,"Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","No","No",316.31
"Zone 5","< 2,500","Female","35-49","March","High school degree","Managerial and Professional","No","11 to 15","No","$75 - $124",7.5,1.36,4.26,"No","Highly satisfied","Unmarried","Not married",1,0,0,0,0,0,0,0,0,"Own","Multiple-Family","8 to 15",3,"Own","Import","Standard","Yes","No","Car","Single occupancy",21,"Missing","Slightly conservative","Yes","No","No","Visa","Other","Airline miles","No","Less than 2","Mastercard","Gold","Cash back","No","Less than 2",17,3,"No","Energy bar",2,"No",2.15,18.75,"Yes",21.5,56.85,"No",0,0,"Yes",15.5,5,"No",0,0,"No","No","No","None","Yes","Yes","Yes","Yes","No","Yes",17,"Yes","Yes","Yes","No","No","No","No","No","No","No","No","No",515.02
"Zone 1","> 250,000","Male","50-64","November","Post-undergraduate degree","Managerial and Professional","No","More than 15","No","$75 - $124",9,5.37,3.36,"No","Highly dissatisfied","Married","College degree",2,0,0,0,0,0,0,0,0,"Rent","Multiple-Family","16 to 25",4,"Own","Import","Luxury","No","No","Car","Single occupancy",16,"Convenience","Slightly conservative","No","No","Yes","American Express","None","Other","No","More than 15","Discover","None","Cash back","No","More than 15",10,7,"No","Energy bar",41,"Yes",14.15,628.5,"No",0,0,"Yes",25.85,1037.75,"Yes",25,955,"No",0,0,"Yes","No","No","Dial-up","No","No","No","No","Yes","Yes",22,"Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","No","Yes","No",651.63
"Zone 5","2,500-9,999","Female","35-49","July","High school degree","Managerial and Professional","No","2 to 5","No","Under $25",7,1.09,0.59,"Yes","Somewhat dissatisfied","Married","High school degree",3,7,1,1,0,0,0,0,5,"Own","Mobile Home","8 to 15",3,"Own","Domestic","Economy","Yes","No","Car","Single occupancy",37,"Missing","Liberal","No","No","No","American Express","Platinum","Other","No","More than 15","Mastercard","Other","Cash back","No","More than 15",12,4,"Yes","Cereal",47,"No",20.45,927.5,"Yes",23.75,1074.05,"Yes",37.85,1705.05,"Yes",25,1200,"Yes",33.2,1506.15,"Yes","Yes","Yes","None","Yes","Yes","Yes","Yes","Yes","Yes",24,"Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No",434.16
"Zone 3","50,000-249,999","Male",">65","May","Did not complete high school","Operation, Fabrication, General Labor","No","More than 15","Yes","Under $25",9.4,0.86,0.74,"No","Highly satisfied","Unmarried","Not married",1,0,0,0,0,0,0,0,0,"Rent","Multiple-Family","16 to 25",0,"N/A","N/A","N/A","N/A","No","Train/Subway","Public transportation",32,"Missing","Slightly conservative","Yes","Yes","Yes","Other","Other","Airline miles","No","More than 15","Discover","None","None","Yes","More than 15",11,2,"Yes","Oatmeal",68,"No",11.7,776.35,"Yes",32.25,2146.7,"No",0,0,"Yes",40.75,2650,"No",0,0,"Yes","No","No","None","Yes","Yes","Yes","Yes","No","Yes",20,"Yes","Yes","Yes","No","No","No","No","No","Yes","No","No","No",236.11
"Zone 3","2,500-9,999","Male",">65","October","Post-undergraduate degree","Precision Production, Craft, Repair","Yes","More than 15","Yes","$75 - $124",8,2.58,3.98,"No","Somewhat satisfied","Married","Some college",4,3,3,0,0,0,0,0,0,"Own","Mobile Home","16 to 25",2,"Lease","Import","Luxury","Yes","Yes","Car","Single occupancy",23,"Missing","Moderate","Yes","No","Yes","Mastercard","Platinum","Other","Yes","More than 15","Visa","Gold","Other","No","More than 15",14,5,"No","Cereal",71,"No",45.3,3193.35,"Yes",45,3277.4,"Yes",45.95,3285.1,"Yes",37.5,2640,"No",0,0,"Yes","No","No","Other","No","No","No","No","Yes","Yes",20,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No",432.81
"Zone 2","> 250,000","Female","35-49","November","College degree","Operation, Fabrication, General Labor","No","11 to 15","No","$50 - $74",19.4,2.34,8.14,"No","Highly satisfied","Unmarried","Not married",1,9,0,0,0,0,0,0,9,"Own","Single-family","16 to 25",0,"N/A","N/A","N/A","N/A","No","Bus","Public transportation",30,"Missing","Conservative","Yes","Yes","Yes","Discover","None","Airline miles","No","More than 15","American Express","None","Other","No","11 to 15",11,7,"No","Cereal",41,"No",9.45,365.95,"No",0,0,"No",0,0,"Yes",12.5,540,"No",0,0,"Yes","No","No","None","No","No","No","No","No","Yes",24,"Yes","Yes","Yes","No","No","No","No","No","No","Yes","No","No",551.63
"Zone 1","< 2,500","Male","50-64","June","High school degree","Managerial and Professional","No","6 to 10","No","$25 - $49",10.1,0.78,4.07,"Yes","Neutral","Unmarried","Not married",1,1,1,0,0,0,0,0,0,"Own","Single-family","16 to 25",3,"Own","Import","Standard","Yes","No","Car","Single occupancy",31,"Missing","Slightly conservative","No","No","Yes","Mastercard","Platinum","None","No","More than 15","Visa","Platinum","Airline miles","No","More than 15",13,7,"No","Cereal",63,"No",26.5,1501.5,"No",0,0,"No",0,0,"Yes",20,1280,"No",0,0,"Yes","No","No","Dial-up","Yes","No","No","Yes","No","Yes",21,"Yes","Yes","Yes","No","Yes","No","No","No","Yes","No","No","No",764.18
"Zone 5","2,500-9,999","Female","35-49","March","College degree","Managerial and Professional","No","2 to 5","No","$50 - $74",11.1,2.21,4.12,"No","Neutral","Unmarried","Not married",2,9,0,0,3,0,0,0,6,"Own","Single-family","8 to 15",2,"Own","Import","Standard","No","Yes","Bus","Public transportation",18,"Missing","Moderate","No","No","No","American Express","Other","Airline miles","Yes","More than 15","Discover","Gold","Other","No","6 to 10",12,4,"Yes","Energy bar",30,"No",8.9,289,"Yes",35.75,1138.4,"Yes",49.9,1437.35,"Yes",13.5,330,"Yes",53.55,1551.95,"Yes","Yes","Yes","Cable modem","Yes","Yes","Yes","No","Yes","Yes",15,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No",963.8
"Zone 3","2,500-9,999","Female","25-34","July","College degree","Operation, Fabrication, General Labor","No","2 to 5","No","$25 - $49",7.7,0.32,2.84,"No","Highly satisfied","Married","College degree",4,0,0,0,0,0,0,0,0,"Own","Single-family","4 to 7",0,"N/A","N/A","N/A","N/A","Yes","Walk","Non-motorized",27,"Missing","Moderate","Yes","No","No","American Express","Other","None","No","6 to 10","Visa","None","Airline miles","No","2 to 5",9,3,"Yes","Cereal",9,"No",6.8,66.45,"Yes",19.25,209.5,"No",0,0,"Yes",22.75,215,"Yes",33.95,299.65,"No","Yes","No","Dial-up","Yes","Yes","Yes","Yes","No","Yes",18,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No",637.2
"Zone 5","10,000-49,999","Male","25-34","October","High school degree","Managerial and Professional","No","2 to 5","No","Under $25",2.6,0.33,0.19,"No","Neutral","Married","Did not complete high school",4,0,0,0,0,0,0,0,0,"Rent","Multiple-Family","Less than 3",2,"Own","Import","Economy","No","No","Walk","Non-motorized",15,"Missing","Extremely liberal","Yes","No","No","Mastercard","Platinum","Cash back","No","11 to 15","American Express","Other","Other","No","11 to 15",9,5,"No","Cereal",47,"No",13.4,623.25,"No",0,0,"No",0,0,"Yes",12.75,595,"No",0,0,"No","No","No","None","No","No","No","Yes","No","Yes",34,"Yes","Yes","Yes","No","No","Yes","Yes","No","Yes","No","No","No",556.07
"Zone 3","10,000-49,999","Male","25-34","September","Post-undergraduate degree","Managerial and Professional","No","2 to 5","No","$125+",14,5.3,12.2,"Yes","Neutral","Unmarried","Not married",2,0,0,0,0,0,0,0,0,"Own","Single-family","8 to 15",0,"N/A","N/A","N/A","N/A","No","Other public transit","Public transportation",28,"Convenience","Moderate","Yes","No","No","American Express","Other","Airline miles","No","More than 15","Visa","Gold","Cash back","No","11 to 15",13,6,"Yes","Energy bar",38,"No",12.1,443.1,"Yes",31,1103.25,"Yes",69.4,2599.75,"Yes",21.25,855,"Yes",71.2,2685.15,"Yes","Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes",26,"Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","No","No",1270.8
"Zone 2","50,000-249,999","Female","18-24","June","High school degree","Sales and Office","No","Less than 2","No","Under $25",2.5,0.14,0.31,"No","Somewhat dissatisfied","Married","Did not complete high school",3,0,0,0,0,0,0,0,0,"Rent","Multiple-Family","Less than 3",2,"Own","Import","Economy","No","Yes","Carpool","Multiple occupancy",24,"Prices","Conservative","Yes","No","Yes","Mastercard","Platinum","Airline miles","No","Less than 2","Visa","Gold","Other","No","Less than 2",14,4,"Yes","Energy bar",9,"Yes",5.1,41.4,"No",0,0,"Yes",21.35,165.3,"No",0,0,"No",0,0,"No","No","No","Cable modem","No","No","No","No","Yes","Yes",24,"Yes","Yes","Yes","No","Yes","No","Yes","No","No","No","No","No",360.23
"Zone 1","> 250,000","Female","50-64","February","High school degree","Precision Production, Craft, Repair","Yes","More than 15","No","$75 - $124",18.8,4.45,14.16,"No","Somewhat satisfied","Unmarried","Not married",1,7,1,0,0,0,0,0,6,"Own","Single-family","More than 25",4,"Own","Import","Standard","Yes","No","Car","Single occupancy",20,"Missing","Moderate","Yes","No","No","Mastercard","Other","None","No","More than 15","Visa","Other","Cash back","No","More than 15",10,2,"No","Cereal",72,"No",49.05,3452.55,"No",0,0,"No",0,0,"Yes",22.75,1620,"No",0,0,"Yes","No","No","Dial-up","No","No","No","No","No","Yes",19,"Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No","No","No",347.92
"Zone 4","10,000-49,999","Male","18-24","July","High school degree","Operation, Fabrication, General Labor","No","Less than 2","No","Under $25",5.3,0.33,0.47,"Yes","Somewhat satisfied","Unmarried","Not married",1,2,2,0,0,0,0,0,0,"Rent","Single-family","Less than 3",3,"Own","Domestic","Economy","Yes","No","Car","Single occupancy",26,"Missing","Slightly liberal","No","No","No","American Express","Platinum","Other","No","Less than 2","Discover","Gold","Other","No","Less than 2",15,7,"No","Oatmeal",6,"Yes",5.4,39.15,"Yes",15.75,91.4,"No",0,0,"Yes",15,75,"No",0,0,"Yes","No","No","Dial-up","Yes","No","Yes","Yes","Yes","Yes",20,"No","No","No","No","Yes","No","No","Yes","Yes","No","No","No",471.23
"Zone 1","> 250,000","Male","18-24","November","College degree","Managerial and Professional","Yes","Less than 2","No","$25 - $49",5.4,0.16,1.35,"No","Somewhat dissatisfied","Unmarried","Not married",1,0,0,0,0,0,0,0,0,"Rent","Condominium/Townhouse","Less than 3",2,"Own","Import","Economy","No","Yes","Car","Single occupancy",8,"Missing","Moderate","No","No","No","Visa","Gold","Cash back","No","2 to 5","Mastercard","Platinum","Cash back","Yes","2 to 5",8,7,"Yes","Energy bar",23,"No",6.15,146.8,"Yes",25,573.2,"Yes",38.6,878.1,"Yes",26.75,560,"No",0,0,"No","Yes","No","Cable modem","Yes","Yes","Yes","Yes","Yes","Yes",22,"Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","No","No",366.21
"Zone 3","10,000-49,999","Female","18-24","August","Did not complete high school","Sales and Office","No","Less than 2","No","Under $25",11.8,0.43,2.28,"No","Highly dissatisfied","Married","Did not complete high school",3,3,0,0,0,0,0,0,3,"Own","Single-family","Less than 3",4,"Own","Import","Economy","No","No","Car","Single occupancy",30,"Missing","Slightly conservative","No","No","No","Visa","Platinum","None","No","Less than 2","Discover","Gold","Other","No","Less than 2",12,4,"Yes","Energy bar",17,"No",9.05,142.9,"No",0,0,"No",0,0,"Yes",7.25,135,"No",0,0,"No","No","No","None","No","No","No","No","No","Yes",12,"Yes","Yes","Yes","No","No","No","No","No","No","No","No","No",515.58
"Zone 3","> 250,000","Male","50-64","August","Did not complete high school","Operation, Fabrication, General Labor","No","More than 15","Yes","Under $25",6.3,0.53,0.86,"No","Highly satisfied","Married","High school degree",5,0,0,0,0,0,0,0,0,"Rent","Single-family","16 to 25",2,"Lease","Domestic","Economy","No","Yes","Car","Single occupancy",18,"Missing","Moderate","No","No","Yes","Visa","Other","Other","No","6 to 10","Discover","Gold","Airline miles","No","6 to 10",6,1,"Yes","Oatmeal",15,"No",12.4,194.15,"Yes",24,358.35,"No",0,0,"Yes",29.75,410,"No",0,0,"Yes","No","No","Dial-up","No","Yes","Yes","Yes","No","Yes",24,"Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","No",156.67
"Zone 1","> 250,000","Male",">65","September","High school degree","Sales and Office","No","11 to 15","No","$25 - $49",15.9,2.03,3.85,"No","Somewhat satisfied","Unmarried","Not married",1,1,0,1,0,0,0,0,0,"Own","Single-family","More than 25",3,"Own","Domestic","Standard","No","Yes","Car","Single occupancy",17,"Missing","Slightly liberal","Yes","No","Yes","Other","Gold","None","Yes","More than 15","Visa","Gold","Airline miles","No","11 to 15",7,0,"No","Oatmeal",44,"No",7.5,322,"Yes",24.5,963.8,"No",0,0,"Yes",11,445,"No",0,0,"Yes","Yes","No","Dial-up","Yes","Yes","Yes","Yes","Yes","Yes",33,"Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","No",132.15
"Zone 4","> 250,000","Male","25-34","November","College degree","Precision Production, Craft, Repair","Yes","6 to 10","No","$75 - $124",5.8,2.3,3.32,"No","Somewhat satisfied","Married","High school degree",2,13,2,0,0,0,0,0,11,"Own","Single-family","8 to 15",1,"Own","Import","Luxury","No","No","Bus","Public transportation",25,"Missing","Moderate","No","No","Yes","American Express","Other","Cash back","No","Less than 2","Discover","Other","Cash back","Yes","Less than 2",21,2,"No","Cereal",2,"No",6.55,11.5,"Yes",12.75,23.45,"Yes",45.65,56.5,"Yes",69.75,55,"Yes",39.2,57.4,"Yes","Yes","Yes","Other","Yes","Yes","Yes","Yes","Yes","Yes",24,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No",982.89
"Zone 5","2,500-9,999","Female","35-49","October","College degree","Operation, Fabrication, General Labor","No","More than 15","No","$125+",13.7,11.38,10.68,"No","Highly satisfied","Unmarried","Not married",2,2,0,0,0,0,0,0,2,"Own","Condominium/Townhouse","16 to 25",6,"Own","Domestic","Luxury","No","Yes","Car","Single occupancy",29,"Prices","Moderate","No","No","No","Visa","Other","Cash back","No","2 to 5","Mastercard","None","Other","No","2 to 5",10,4,"No","Energy bar",11,"No",3.2,38.95,"Yes",14.5,156.3,"Yes",43.25,373.6,"Yes",40.5,380,"Yes",25.25,236,"No","Yes","Yes","Other","Yes","Yes","Yes","Yes","Yes","Yes",15,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No",481.94
"Zone 4","< 2,500","Female","35-49","October","College degree","Sales and Office","Yes","Less than 2","No","Under $25",9.9,0.82,1.35,"No","Neutral","Married","College degree",5,4,3,1,0,0,0,0,0,"Own","Single-family","16 to 25",2,"Own","Import","Economy","No","Yes","Car","Single occupancy",21,"Missing","Moderate","No","Yes","No","Visa","Platinum","Other","No","2 to 5","Mastercard","Gold","Cash back","No","2 to 5",7,8,"No","Oatmeal",8,"No",4.35,38.45,"No",0,0,"No",0,0,"No",0,0,"No",0,0,"No","No","No","None","Yes","No","Yes","No","No","Yes",21,"No","Yes","Yes","No","No","No","Yes","No","No","No","Yes","No",417.32
"Zone 3","> 250,000","Female","50-64","January","College degree","Service","No","More than 15","No","$125+",18,15.37,34.85,"Yes","Neutral","Married","Did not complete high school",7,13,3,0,0,0,0,0,10,"Own","Single-family","16 to 25",2,"Own","Domestic","Luxury","No","Yes","Car","Single occupancy",15,"Missing","Conservative","No","Yes","No","Visa","Platinum","Other","No","More than 15","American Express","Gold","Other","No","More than 15",12,7,"No","Cereal",54,"Yes",17.35,976.85,"No",0,0,"Yes",46.15,2464.8,"Yes",7.5,380,"Yes",38.25,2007.1,"Yes","No","Yes","DSL","Yes","Yes","No","Yes","Yes","Yes",16,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No",1281.07
"Zone 1","10,000-49,999","Male","35-49","December","High school degree","Managerial and Professional","Yes","6 to 10","No","$25 - $49",15,3.09,2.76,"No","Somewhat satisfied","Unmarried","Not married",1,0,0,0,0,0,0,0,0,"Own","Mobile Home","8 to 15",3,"Own","Domestic","Economy","Yes","No","Car","Single occupancy",36,"Convenience","Conservative","Yes","No","No","Visa","Gold","Cash back","No","11 to 15","Discover","None","Cash back","No","6 to 10",12,3,"Yes","Oatmeal",16,"Yes",5.15,73.9,"No",0,0,"No",0,0,"Yes",12.25,165,"No",0,0,"No","No","No","None","No","No","No","No","No","Yes",17,"Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","No",443.97
"Zone 4","50,000-249,999","Male","35-49","May","High school degree","Managerial and Professional","No","2 to 5","No","$25 - $49",18,1.72,5.84,"Yes","Highly dissatisfied","Married","Did not complete high school",7,1,0,1,0,0,0,0,0,"Own","Condominium/Townhouse","4 to 7",4,"Own","Domestic","Standard","No","Yes","Car","Single occupancy",28,"Missing","Conservative","Yes","No","Yes","American Express","Gold","Airline miles","No","11 to 15","Mastercard","Gold","None","No","11 to 15",14,6,"Yes","Energy bar",45,"No",11.2,522.4,"No",0,0,"No",0,0,"No",0,0,"No",0,0,"No","No","No","Dial-up","No","No","No","Yes","No","Yes",22,"Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","No","No","No",1234.19
"Zone 2","50,000-249,999","Male","50-64","November","Did not complete high school","Precision Production, Craft, Repair","No","More than 15","Yes","$25 - $49",3.8,1.01,0.55,"No","Highly dissatisfied","Unmarried","Not married",1,4,0,0,0,0,2,0,2,"Own","Single-family","More than 25",1,"Lease","Import","Economy","No","Yes","Bus","Public transportation",22,"Convenience","Liberal","No","No","Yes","Other","None","None","No","More than 15","Mastercard","Other","Other","No","More than 15",15,1,"No","Oatmeal",72,"No",46.5,3475.8,"No",0,0,"No",0,0,"Yes",14.25,1015,"No",0,0,"No","No","No","None","No","No","No","No","No","Yes",16,"Yes","Yes","Yes","No","No","No","No","No","Yes","No","No","No",697.86
"Zone 1","50,000-249,999","Female","35-49","December","Post-undergraduate degree","Managerial and Professional","No","2 to 5","No","$25 - $49",14.9,3.02,3.84,"Yes","Somewhat dissatisfied","Married","Post-undergraduate degree",3,3,0,3,0,0,0,0,0,"Rent","Condominium/Townhouse","8 to 15",2,"Own","Import","Standard","No","Yes","Car","Single occupancy",21,"Missing","Moderate","No","No","No","American Express","Platinum","Airline miles","No","2 to 5","Visa","Gold","Other","Yes","2 to 5",5,4,"No","Energy bar",14,"Yes",4.6,56.9,"Yes",36,477.65,"Yes",35.65,427.15,"Yes",27.75,375,"Yes",31.1,403.5,"No","Yes","Yes","DSL","Yes","Yes","Yes","Yes","No","Yes",21,"Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","No","No",238.13
"Zone 1","2,500-9,999","Female",">65","October","Some college","Service","No","More than 15","Yes","$75 - $124",18.9,1.58,16.37,"No","Highly satisfied","Unmarried","Not married",1,3,1,0,2,0,0,0,0,"Own","Condominium/Townhouse","16 to 25",5,"Own","Domestic","Luxury","No","Yes","Car","Single occupancy",30,"Missing","Liberal","No","Yes","No","Discover","None","Other","Yes","More than 15","American Express","Gold","Other","No","More than 15",13,6,"No","Oatmeal",65,"No",22.3,1491.9,"Yes",43,2740,"Yes",59.1,3840.55,"Yes",55.5,3430,"Yes",46.05,2907.85,"Yes","Yes","Yes","Dial-up","Yes","Yes","Yes","Yes","No","Yes",26,"Yes","Yes","Yes","No","Yes","No","No","Yes","Yes","No","Yes","No",780.89
"Zone 3","2,500-9,999","Male","18-24","May","Some college","Sales and Office","No","Less than 2","No","$25 - $49",9.7,1.04,1.87,"No","Highly dissatisfied","Unmarried","Not married",6,0,0,0,0,0,0,0,0,"Own","Mobile Home","Less than 3",2,"Own","Import","Economy","Yes","No","Car","Single occupancy",34,"Missing","Moderate","No","No","No","American Express","Other","Other","No","2 to 5","Discover","Gold","Other","No","2 to 5",11,2,"No","Energy bar",27,"No",9.25,260.4,"No",0,0,"Yes",47.7,1269.15,"No",0,0,"Yes",45.85,1167.8,"Yes","No","Yes","Cable modem","Yes","No","No","Yes","No","Yes",10,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No",429.89
"Zone 3","50,000-249,999","Female","35-49","July","Did not complete high school","Service","No","11 to 15","No","$50 - $74",6.9,0.78,3.09,"No","Somewhat dissatisfied","Unmarried","Not married",1,5,0,0,0,0,5,0,0,"Own","Single-family","8 to 15",5,"Own","Domestic","Economy","Yes","No","Car","Single occupancy",29,"Missing","Moderate","No","No","No","Discover","Platinum","None","No","More than 15","Mastercard","Other","None","No","More than 15",17,4,"Yes","Energy bar",64,"No",21.95,1385.9,"No",0,0,"Yes",26.55,1623.8,"Yes",17.5,1040,"No",0,0,"Yes","No","No","None","No","No","No","No","No","Yes",22,"Yes","Yes","Yes","No","Yes","No","No","No","Yes","No","No","No",550.96
"Zone 2","> 250,000","Female","50-64","April","Did not complete high school","Managerial and Professional","No","6 to 10","No","$25 - $49",30.4,4.18,7.37,"No","Neutral","Married","Did not complete high school",2,4,0,0,0,0,0,0,4,"Own","Single-family","16 to 25",3,"Own","Domestic","Economy","No","Yes","Car","Single occupancy",24,"Missing","Moderate","No","Yes","Yes","Mastercard","Platinum","None","No","11 to 15","American Express","Other","Airline miles","No","6 to 10",13,5,"Yes","Oatmeal",25,"No",5.95,130.7,"No",0,0,"No",0,0,"Yes",9.5,220,"No",0,0,"No","No","No","Dial-up","No","No","No","No","Yes","Yes",13,"Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","No",335.79
